Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,userAccX,userAccY,userAccZ,GravityX,GravityY,GravityZ,HeartRate,SessionID,Unnamed: 18
669693192.614158,0.0136108295992016,0.932403326034546,-0.3043062090873718,0.1686916947364807,-0.4229512512683868,0.0099789146333932,0.0,0.0,0.0,0.0016366839408874,-0.0344374775886535,-0.0492078065872192,0.0119741456583142,0.9668408036231996,-0.2550984025001526,71.0,2.0,nan
669693192.634079,0.0015258751809597,0.9291989803314208,-0.2564851939678192,0.1938170194625854,-0.3660107254981994,0.0013963453238829,0.0,0.0,0.0,-0.0084924101829528,-0.0367448925971984,0.0020718574523925,0.0100182853639125,0.9659438729286194,-0.2585570514202118,71.0,2.0,nan
669693192.653941,0.0069732666015625,0.9558103680610656,-0.2480013072490692,0.1652341037988662,-0.3183389008045196,-0.0052661914378404,0.0,0.0,0.0,-0.0011367946863174,-0.0091651678085327,0.0142130851745605,0.0081100612878799,0.9649755358695984,-0.2622143924236297,71.0,2.0,nan
669693192.674126,-0.0081176818348467,0.9082944989204408,-0.285995751619339,0.0752006322145462,-0.1652416884899139,-0.0064013903029263,0.0,0.0,0.0,-0.0147854089736938,-0.0560293197631835,-0.0213544964790344,0.0066677271388471,0.9643238186836244,-0.2646412551403045,71.0,2.0,nan
669693192.693965,-0.0256652841344475,0.9388731122016908,-0.2869417667388916,-0.0342659428715705,-0.0668457075953483,-0.0094161955639719,0.0,0.0,0.0,-0.0314645916223526,-0.0253320336341857,-0.0218480825424194,0.005799307487905,0.9642051458358764,-0.2650936841964721,71.0,2.0,nan
669693192.713896,-0.0179290664382278,0.911590337753296,-0.2689210772514343,-0.1144838854670524,0.0314917564392089,-0.0087662236765027,0.0,0.0,0.0,-0.0234186202287673,-0.0530247092247009,-0.0053165853023529,0.0054895537905395,0.9646150469779968,-0.2636044919490814,71.0,2.0,nan
669693192.733824,-0.0212249858304858,0.9411312937736512,-0.2488710582256317,-0.1036757752299308,0.1230285018682479,-0.0139286546036601,0.0,0.0,0.0,-0.0268961489200592,-0.0240698456764221,0.0125752389430999,0.0056711630895733,0.9652011394500732,-0.2614462971687317,71.0,2.0,nan
669693192.753557,-0.0248413095250725,0.9536892771720886,-0.2582094669342041,-0.1377633810043335,0.2449262738227844,-0.0211773533374071,0.0,0.0,0.0,-0.0310726761817932,-0.0121229290962219,0.0009576976299285,0.0062313666567206,0.9658122062683104,-0.2591671645641327,71.0,2.0,nan
669693192.77348,-0.0317382784560322,0.936919927597046,-0.3079683780670166,-0.1432339698076248,0.3702084720134735,-0.0175999291241168,0.0,0.0,0.0,-0.0389461070299148,-0.029534637928009,-0.0512322783470153,0.0072078285738825,0.9664545655250548,-0.2567360997200012,71.0,2.0,nan
669693192.793449,-0.036697388626635,0.9490965008735656,-0.301620751619339,-0.2368593961000442,0.5120254755020142,-0.0031897777225822,0.0,0.0,0.0,-0.0455981940031051,-0.018250286579132,-0.0483207106590271,0.00890080537647,0.9673467874526978,-0.2533000409603119,71.0,2.0,nan
669693192.813747,-0.0401153406128287,0.9532316327095032,-0.3084871768951416,-0.2792615890502929,0.6905163526535034,0.0197670422494411,0.0,0.0,0.0,-0.0519570410251617,-0.0153472423553466,-0.0600628852844238,0.011841700412333,0.96857887506485,-0.2484242916107177,71.0,2.0,nan
669693192.833225,-0.0396575909107923,0.975356936454773,-0.3249513953924179,-0.3569537103176117,0.9016641974449158,0.0198122635483741,0.0,0.0,0.0,-0.0557705760002136,0.0052207112312316,-0.0829266905784607,0.0161129850894212,0.9701362252235411,-0.2420247048139572,71.0,2.0,nan
669693192.85314,-0.0299224816262722,0.9549862742424012,-0.2715761661529541,-0.5241913795471191,1.0783363580703735,0.010125707834959,0.0,0.0,0.0,-0.0510473549365997,-0.0171919465065002,-0.0382890403270721,0.0211248733103275,0.9721782207489014,-0.2332871258258819,71.0,2.0,nan
669693192.873094,0.0009002909064292,0.9290006756782532,-0.2634889781475067,-0.7127140164375305,1.1327320337295532,0.011535532772541,0.0,0.0,0.0,-0.0254300236701965,-0.0459591746330261,-0.0426726937294006,0.0263303145766258,0.9749598503112792,-0.220816284418106,71.0,2.0,nan
669693192.893124,0.014907844364643,0.8999479413032532,-0.2798616588115692,-0.8559755682945251,1.166130781173706,0.0293662995100021,0.0,0.0,0.0,-0.0165909975767135,-0.0783693790435791,-0.0751598477363586,0.0314988419413566,0.9783173203468324,-0.2047018110752105,71.0,2.0,nan
669693192.913019,-0.0071410946547985,0.957000494003296,-0.3036806732416153,-0.9172183871269226,1.2982337474822998,0.0483257174491882,0.0,0.0,0.0,-0.0442133732140064,-0.0247760415077209,-0.117293581366539,0.0370722785592079,0.9817765355110168,-0.1863870918750763,71.0,2.0,nan
669693192.932824,-0.0298919528722763,1.0189359784126282,-0.2140963226556778,-0.916328191757202,1.367412805557251,0.0067126010544598,0.0,0.0,0.0,-0.0722340196371078,0.0339601635932922,-0.0466758608818054,0.0423420667648315,0.984975814819336,-0.1674204617738723,71.0,2.0,nan
669693192.953135,0.0119323842227458,0.9592741131782532,-0.1194612830877304,-1.0995768308639526,1.2744228839874268,-0.0263742450624704,0.0,0.0,0.0,-0.0342994183301925,-0.028818130493164,0.0272905826568603,0.0462318025529384,0.9880922436714172,-0.1467518657445907,71.0,2.0,nan
