Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,userAccX,userAccY,userAccZ,GravityX,GravityY,GravityZ,HeartRate,SessionID,Unnamed: 18
669358204.9183,-0.9486390352249146,0.2854767441749573,-0.2822570139542222,-0.7068902254104614,0.447966456413269,0.1307474672794342,0.0,0.0,0.0,0.0045613050460815,-0.0165894031524658,-0.2951165437698364,-0.953200340270996,0.3020661473274231,0.0128595298156142,92.0,6.0,nan
669358204.938202,-0.9918519258499146,0.4267578721046448,-0.4285735534504056,0.2467620074748993,0.4678020179271698,-0.202468141913414,0.0,0.0,0.0,-0.038184106349945,0.1259487569332122,-0.4342256784439087,-0.9536678194999696,0.3008091151714325,0.005652124993503,92.0,6.0,nan
669358204.958524,-1.0347289443016052,0.2843475341796875,-0.5413818089291453,0.6119354963302612,0.5802156925201416,-0.4423261880874634,0.0,0.0,0.0,-0.0789987444877624,-0.0098161101341247,-0.5344949960708618,-0.9557301998138428,0.2941636443138122,-0.0068868128582835,92.0,6.0,nan
669358204.978115,-1.1082763671875,0.2666626572608948,-0.5162353347986937,0.7397740483283997,0.7854993939399719,-0.5098463892936707,0.0,0.0,0.0,-0.1500633955001831,-0.0183827579021453,-0.4922115206718445,-0.9582129716873168,0.2850454151630401,-0.0240238141268491,92.0,6.0,nan
669358204.997961,-1.1399078369140625,0.2337798774242401,-0.4885254018008709,0.7432405352592468,0.9115479588508606,-0.6035551428794861,0.0,0.0,0.0,-0.1791324615478515,-0.0399644374847412,-0.4440867900848388,-0.9607753753662108,0.2737443149089813,-0.044438611716032,92.0,6.0,nan
669358205.017881,-1.2472077012062073,0.2814331352710724,-0.6235961839556694,0.6707606911659241,1.22579026222229,-0.6007547378540039,0.0,0.0,0.0,-0.2843407392501831,0.0202527642250061,-0.5552433729171753,-0.9628669619560242,0.2611803710460663,-0.0683528110384941,92.0,6.0,nan
669358205.037829,-1.3240203857421875,0.2315521538257599,-0.6243133395910263,0.3828622698783874,1.633073329925537,-0.5003125071525574,0.0,0.0,0.0,-0.3607341051101684,-0.0181192457675933,-0.5256025791168213,-0.963286280632019,0.2496713995933532,-0.098710760474205,92.0,6.0,nan
669358205.05775,-1.2958221435546875,0.211898848414421,-0.5914306640625,0.0853279754519462,1.898587942123413,-0.4137374460697174,0.0,0.0,0.0,-0.3344646096229553,-0.0285978615283966,-0.4574415683746338,-0.9613575339317322,0.2404967099428177,-0.1339890956878662,92.0,6.0,nan
669358205.077571,-1.2998046875,0.2533874809741974,-0.5994415283203125,-0.0165200196206569,2.109114170074463,-0.3763923645019531,0.0,0.0,0.0,-0.3427479863166809,0.020506203174591,-0.4267889261245727,-0.9570567011833192,0.2328812777996063,-0.1726526021957397,92.0,6.0,nan
669358205.098075,-1.335708737373352,0.2971344590187073,-0.5969848781824112,0.0142129911109805,2.336193084716797,-0.3468859791755676,0.0,0.0,0.0,-0.3855991959571838,0.0710574984550476,-0.3820865452289581,-0.9501095414161682,0.2260769605636596,-0.214898332953453,92.0,6.0,nan
669358205.117548,-1.3214113116264343,0.3022918999195099,-0.572601318359375,0.0871310010552406,2.5098955631256104,-0.3290303945541382,0.0,0.0,0.0,-0.381308376789093,0.0827890336513519,-0.3117847144603729,-0.9401029348373412,0.2195028662681579,-0.2608166038990021,92.0,6.0,nan
669358205.137451,-1.2993164658546448,0.290771484375,-0.6232756972312927,0.1764604896306991,2.6303155422210693,-0.3544450998306274,0.0,0.0,0.0,-0.3723269701004028,0.0783535242080688,-0.314132809638977,-0.926989495754242,0.2124179601669311,-0.3091428875923157,92.0,6.0,nan
669358205.157432,-1.3184356093406675,0.3000945895910263,-0.6467437148094177,0.2492309659719467,2.7720463275909424,-0.3520356714725494,0.0,0.0,0.0,-0.4079213142395019,0.0956688821315765,-0.2873362600803375,-0.9105142951011658,0.2044257074594497,-0.3594074547290802,92.0,6.0,nan
669358205.177419,-1.3456116318702698,0.2792510986328125,-0.6374969184398651,0.2377492040395736,2.945907592773437,-0.3289274871349334,0.0,0.0,0.0,-0.4557629823684692,0.0828962326049804,-0.2256544828414917,-0.8898486495018005,0.196354866027832,-0.4118424355983734,92.0,6.0,nan
669358205.197249,-1.3606109023094175,0.2488403171300888,-0.5729827880859375,0.0798333436250686,3.0990657806396484,-0.3129902780056,0.0,0.0,0.0,-0.4959653615951538,0.0595983117818832,-0.1076061427593231,-0.8646455407142639,0.1892420053482055,-0.4653766453266144,92.0,6.0,nan
669358205.217219,-1.3731536865234375,0.2515106499195099,-0.4881439208984375,-0.0566189028322696,3.2299673557281494,-0.2728447616100311,0.0,0.0,0.0,-0.5384967923164368,0.0674847066402435,0.0309730172157287,-0.8346568942070007,0.1840259432792663,-0.5191169381141663,92.0,6.0,nan
669358205.237013,-1.3175201416015625,0.2608032375574112,-0.5014647841453552,-0.1894849389791488,3.3066964149475098,-0.176932007074356,0.0,0.0,0.0,-0.5177825689315796,0.0793329626321792,0.0708011388778686,-0.7997375726699829,0.1814702749252319,-0.5722659230232239,92.0,6.0,nan
669358205.257004,-1.2781524062156675,0.2608032375574112,-0.4762725234031677,-0.3465370833873749,3.370182991027832,-0.0409405604004859,0.0,0.0,0.0,-0.5178398489952087,0.0777284801006317,0.146951675415039,-0.760312557220459,0.1830747574567794,-0.6232241988182068,92.0,6.0,nan
